                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0445,                 8.7684,                 6.3094,                 3.6932,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4738,                 7.0756,                  6.878,                 2.9159,                      0,                      0,                      0
                      2,                 2.8633,                 11.394,                 8.2098,                 3.2647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4735,                 7.0387,                 6.8844,                 2.9867,             1.5703e-06,             1.5703e-06,             1.5703e-06
                      3,                 2.7177,                 12.071,                 6.7046,                 3.3224,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5442,                 6.8613,                 7.0066,                 3.0307,             3.1013e-06,             3.1013e-06,             3.1013e-06
                      4,                 2.5823,                 9.1796,                 6.7834,                 2.9863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7285,                 6.7953,                  7.225,                 3.0111,             4.5929e-06,             4.5929e-06,             4.5929e-06
                      5,                 2.7119,                 12.673,                 7.6145,                 3.0592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7614,                 6.6242,                  7.244,                  3.078,             6.0452e-06,             6.0452e-06,             6.0452e-06
                      6,                 3.6024,                 6.2977,                   6.58,                 3.2986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8419,                 6.5007,                 7.2086,                 3.1281,             7.4581e-06,             7.4581e-06,             7.4581e-06
                      7,                 2.3841,                 8.0097,                 8.0492,                 2.7079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8782,                 6.5117,                 7.0709,                 3.1567,             8.8317e-06,             8.8317e-06,             8.8317e-06
                      8,                 3.8602,                 6.5093,                 6.2736,                 3.4863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9218,                 6.6336,                 6.8567,                 3.1938,             1.0166e-05,             1.0166e-05,             1.0166e-05
                      9,                 2.6111,                 10.007,                 5.7542,                 2.4537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9464,                 6.5485,                 6.7145,                 3.1943,             1.1461e-05,             1.1461e-05,             1.1461e-05
                     10,                 1.5361,                 6.3792,                  6.365,                 2.3895,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9561,                  6.595,                 6.6214,                  3.208,             1.2716e-05,             1.2716e-05,             1.2716e-05
                     11,                 3.3058,                 6.9414,                 5.7533,                 3.5113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9543,                 6.5197,                   6.53,                 3.2101,             1.3932e-05,             1.3932e-05,             1.3932e-05
                     12,                0.81285,                 3.7114,                 5.9892,                 1.9474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9156,                 6.6497,                 6.5441,                 3.2961,             1.5109e-05,             1.5109e-05,             1.5109e-05
                     13,                 3.4048,                 11.286,                 6.5475,                 3.5567,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8812,                 6.4513,                 6.5743,                 3.2732,             1.6247e-05,             1.6247e-05,             1.6247e-05
                     14,                 2.3727,                 4.3041,                 7.5149,                  2.862,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8287,                 6.2984,                 6.5945,                 3.2499,             1.7345e-05,             1.7345e-05,             1.7345e-05
                     15,                 3.5235,                 10.993,                 6.2521,                 3.7235,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7401,                 6.0105,                 6.6056,                 3.2035,             1.8403e-05,             1.8403e-05,             1.8403e-05
                     16,                 2.5002,                 6.1451,                 7.0544,                 3.2743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.6298,                 5.8495,                 6.5773,                 3.1615,             1.9423e-05,             1.9423e-05,             1.9423e-05
                     17,                 1.5147,                 4.5747,                 5.7622,                 2.2045,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5112,                 5.7588,                 6.5203,                 3.1218,             2.0403e-05,             2.0403e-05,             2.0403e-05
                     18,                 2.7494,                 5.9793,                 6.4073,                  2.873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5112,                 5.7588,                 6.5203,                 3.1218,             2.1344e-05,             2.1344e-05,             2.1344e-05
                     19,                 2.5983,                 6.3676,                 6.8432,                 2.9464,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1702,                 5.6067,                 6.5849,                  3.027,             2.2245e-05,             2.2245e-05,             2.2245e-05
                     20,                 2.4697,                 5.3763,                 6.5146,                 2.8427,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1702,                 5.6067,                 6.5849,                  3.027,             2.3107e-05,             2.3107e-05,             2.3107e-05
                     21,                 2.4471,                 4.5374,                 6.8488,                 3.3493,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7655,                 5.3698,                 6.7263,                 2.9288,             2.3929e-05,             2.3929e-05,             2.3929e-05
                     22,                 2.5648,                  5.519,                 8.0409,                 2.4067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7655,                 5.3698,                 6.7263,                 2.9288,             2.4713e-05,             2.4713e-05,             2.4713e-05
